SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,trajectory
0,0.02076470759154542,59,0.0,0.26206739607032187,12289.672130892304,7.0,0.0,1.0,0.0,0.0,improving
0,0.0,59,1.0,0.14379117414232348,8433.643417299203,9.0,0.0,1.0,0.0,0.0,stable
0,0.040310001987245825,50,0.0,0.2776970645516574,5638.9713886715745,6.0,0.0,2.0,1.0,3.0,deteriorating
0,0.8489080384401012,43,0.0,0.12495389770191818,4966.90495764637,4.0,0.0,0.0,0.0,0.0,improving
0,1.0,51,0.0,3532.011402987288,,10.0,0.0,1.0,0.0,0.0,stable
0,0.8587645383169515,36,0.0,0.29899455218833926,7687.253484903421,8.0,1.0,2.0,0.0,0.0,deteriorating
0,0.11274287135022419,69,0.0,212.55478050188609,,6.0,0.0,0.0,0.0,0.0,improving
0,0.03426859984869104,80,0.0,0.006126006672872955,6296.497680574973,11.0,0.0,0.0,0.0,1.0,improving
0,0.3157236867713787,56,0.0,0.2625315501335145,8349.273694343658,12.0,0.0,1.0,0.0,0.0,stable
0,0.12552270932928608,46,0.0,0.26332178203216167,6436.93303767477,9.0,0.0,2.0,0.0,2.0,stable
1,1.0,57,0.0,0.13967706020684292,5042.894886177651,1.0,1.0,0.0,0.0,0.0,stable
0,0.0,35,1.0,0.010114133650180804,5387.201577371514,9.0,1.0,0.0,1.0,0.0,deteriorating
0,0.005324189672340897,33,0.0,5.206060635704812,,2.0,0.0,0.0,0.0,0.0,improving
0,0.0,46,0.0,0.5220731609420984,4887.333012465122,13.0,0.0,2.0,0.0,2.0,improving
0,0.8925223818938874,64,0.0,0.49987880138149776,2575.9207894503384,4.0,0.0,1.0,1.0,0.0,stable
0,0.34377192775743126,60,0.0,0.47501781927120407,3960.185682404507,6.0,0.0,1.0,0.0,0.0,stable
0,0.07080275292402148,76,0.0,0.0077797953127814925,5587.621876701014,6.0,0.0,0.0,0.0,1.0,stable
0,0.9133422426385525,60,0.0,2242.924558548145,,3.0,0.0,1.0,0.0,0.0,stable
0,0.4612349323431066,49,0.0,0.5362667361270005,8432.171802916459,9.0,0.0,1.0,0.0,1.0,improving
0,0.004849542189533823,83,0.0,0.49124031674732177,4184.784603168967,17.0,0.0,2.0,0.0,0.0,improving
1,0.3897803899649749,65,0.0,0.4193257377621916,12116.073229856629,13.0,1.0,2.0,0.0,0.0,improving
0,0.004388414874803628,43,0.0,0.47962489299353134,7867.8525441565125,9.0,0.0,2.0,0.0,0.0,stable
0,0.8654359843984702,27,1.0,0.04007024341411191,1641.850873068234,3.0,0.0,0.0,1.0,0.0,deteriorating
0,0.07429537816674738,36,1.0,0.21284995481917157,7447.76106087679,5.0,0.0,1.0,0.0,0.0,deteriorating
0,0.0,53,0.0,505.485931811926,,5.0,0.0,1.0,0.0,0.0,improving
0,0.07036704214996746,48,0.0,0.20027341728592302,4606.990100388163,6.0,0.0,1.0,0.0,1.0,stable
0,0.2855962964860174,47,0.0,0.5676321419644638,7522.449609980812,17.0,0.0,4.0,0.0,0.0,stable
1,0.1521355864187787,56,0.0,0.03310338810083901,3261.6376457742085,8.0,0.0,0.0,0.0,1.0,stable
0,0.44237355178636223,64,0.0,0.18178919316870684,17013.302020858082,8.0,0.0,2.0,0.0,0.0,stable
0,0.019133628105820737,46,0.0,0.45098644204858324,11964.937361627872,11.0,0.0,1.0,0.0,2.0,improving
0,0.679549153388599,65,0.0,0.5121038744715758,2781.2869336706995,12.0,0.0,0.0,0.0,0.0,improving
0,0.023464327393034244,66,0.0,0.2906104929847794,14287.42246252664,28.0,0.0,2.0,1.0,1.0,deteriorating
0,0.02809665642416885,59,0.0,0.553978309370809,2944.4825930947804,8.0,0.0,1.0,0.0,0.0,stable
0,0.7805974140949922,39,3.0,172.67011955926813,0.9541340536140382,3.0,1.0,0.0,0.0,0.0,stable
0,0.018641975767618446,60,0.0,2175.1509727254534,,6.0,0.0,2.0,0.0,0.0,stable
0,0.5767186714896316,38,1.0,0.6937146255044301,2241.937793785857,18.0,0.0,0.0,1.0,0.0,stable
0,1.0,55,0.0,0.0,1221.1130177616694,0.0,0.0,0.0,0.0,0.0,stable
0,0.16540431303430056,55,0.0,0.4156020973114114,6539.230163410904,12.0,0.0,1.0,1.0,1.0,stable
0,0.00459056650783373,64,0.0,0.39704849503252615,7522.6772394117215,10.0,0.0,3.0,0.0,2.0,stable
0,0.0,32,0.0,0.0,2128.1767252986674,3.0,0.0,0.0,0.0,0.0,improving
0,1.0,73,0.0,0.0,7591.837297564475,0.0,0.0,0.0,0.0,0.0,stable
0,0.5639605168878521,71,0.0,0.420630363222755,8120.122152553377,8.0,0.0,2.0,1.0,0.0,improving
1,0.6887151918449317,41,0.0,0.5171158742653278,3204.712904140729,6.0,0.0,0.0,0.0,4.0,improving
0,0.6180063314746761,65,0.0,1211.4601119400586,,9.0,0.0,2.0,1.0,1.0,stable
0,0.06661436227730731,91,0.0,531.2426590024497,,10.0,0.0,0.0,0.0,0.0,improving
0,0.04347135370666419,59,0.0,0.23105065603167332,8487.541322834151,4.0,0.0,1.0,0.0,1.0,improving
1,0.7713325628858687,50,3.0,1.5481370352859856,1715.6569266945578,6.0,1.0,1.0,1.0,3.0,stable
0,0.10125760200496996,53,0.0,0.16844195754314,8857.583020135293,9.0,0.0,1.0,0.0,1.0,stable
0,0.07666678927213244,86,0.0,0.01627881902722588,2817.1874942679988,4.0,0.0,0.0,0.0,1.0,improving
0,0.05141712207084596,67,2.0,1.3456538981336927,4232.982361085009,11.0,1.0,4.0,0.0,0.0,stable
0,0.49203331396816274,45,0.0,0.14652631049242026,6419.0234028037785,3.0,1.0,1.0,1.0,2.0,stable
0,0.0,65,0.0,929.3752567491272,,4.0,0.0,1.0,0.0,2.0,stable
0,0.061303765721128965,74,0.0,0.03218123506846846,3575.0196680595454,4.0,0.0,0.0,0.0,1.0,improving
0,0.03725155507581036,54,0.0,1158.8601537411241,,6.0,0.0,1.0,0.0,0.0,improving
0,0.08331919872725561,32,0.0,0.48081110576768166,1775.8042575797072,7.0,0.0,0.0,0.0,0.0,improving
0,0.03986658544527398,65,0.0,824.2807886541373,,6.0,0.0,1.0,0.0,0.0,improving
0,0.1843735027252638,49,1.0,0.414635788851322,6847.272551080825,5.0,0.0,1.0,0.0,2.0,stable
0,0.11766075637203605,32,0.0,27.407342366959693,,3.0,0.0,0.0,0.0,0.0,stable
0,0.0,57,0.0,0.0,6920.22952422692,2.0,0.0,0.0,0.0,0.0,stable
0,0.18754339899275424,65,0.0,5307.336736347362,,16.0,0.0,3.0,0.0,0.0,stable
