SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,trajectory
0,0.025278760048741834,59,0.0,0.25874353075496337,11770.595704207655,7.0,0.0,1.0,0.0,0.0,improving
0,0.0,59,0.0,0.14455617261741857,7892.215346340004,9.0,0.0,1.0,0.0,0.0,stable
0,0.04263501352433039,50,0.0,0.26522328997024214,6051.550376727558,6.0,0.0,2.0,0.0,3.0,deteriorating
0,0.9629787238506274,43,0.0,0.1670379814378049,6002.837734703167,4.0,1.0,0.0,0.0,0.0,improving
0,0.7611728041411361,36,0.0,0.30393546568493657,9516.137859329472,8.0,0.0,2.0,0.0,0.0,stable
0,0.05149592432109337,80,1.0,0.006874777332851495,5515.125628185015,11.0,0.0,0.0,1.0,1.0,deteriorating
0,0.20065268976239445,56,0.0,0.23362104488517532,9578.307200737205,12.0,0.0,1.0,1.0,0.0,improving
0,0.1324008530240524,46,0.0,0.2587644312907414,7235.899496291004,9.0,0.0,2.0,0.0,2.0,improving
1,0.9688335624648049,57,1.0,0.13359292812986895,4969.658776681398,1.0,1.0,0.0,0.0,0.0,stable
0,0.0,35,0.0,0.009269272503134172,6250.2291654600085,9.0,0.0,0.0,0.0,0.0,stable
0,0.0,46,0.0,0.5934931072605203,5031.03763596165,13.0,0.0,2.0,0.0,2.0,stable
0,0.967108372047534,64,0.0,0.5561738240883399,2573.345078291117,4.0,1.0,1.0,0.0,0.0,deteriorating
0,0.2848038678655924,60,0.0,0.448401151300907,4685.465078183393,6.0,0.0,1.0,0.0,0.0,improving
0,0.07653686454792015,76,0.0,0.008763123525839361,6864.073596971363,6.0,0.0,0.0,0.0,1.0,improving
0,0.5300903505188564,49,0.0,0.5962029090608238,8814.801873269174,9.0,1.0,1.0,0.0,1.0,stable
0,0.005314851041893207,83,0.0,0.48030325375495486,5005.256640388326,17.0,0.0,2.0,0.0,0.0,stable
1,0.3846676910955411,65,1.0,0.4493760780526566,9805.784994656484,13.0,1.0,2.0,0.0,0.0,stable
0,0.003663892841767433,43,0.0,0.4770860157383694,7982.62257473279,9.0,0.0,2.0,0.0,0.0,stable
0,0.5948597440411321,27,1.0,0.03783929501503705,2124.0743311601877,3.0,0.0,0.0,0.0,0.0,improving
0,0.047752577746792056,36,0.0,0.19691823793784863,9335.851235894972,5.0,0.0,1.0,0.0,0.0,improving
0,0.05595302124032787,48,0.0,0.18792948627031342,5279.257219750171,6.0,0.0,1.0,0.0,1.0,improving
0,0.28951730076620963,47,0.0,0.5335809005175942,8367.158076861526,17.0,0.0,4.0,1.0,0.0,stable
1,0.16227243388875895,56,0.0,0.03258760834575035,3348.2599014169523,8.0,0.0,0.0,0.0,1.0,deteriorating
0,0.46261703875084426,64,0.0,0.19597072184527367,16128.093442671923,8.0,0.0,2.0,0.0,0.0,deteriorating
0,0.02053330956114452,46,0.0,0.5228360571333409,11050.267518286219,11.0,0.0,1.0,0.0,2.0,improving
0,0.7639931001021528,65,0.0,0.5295001337357516,2605.4871555893833,12.0,0.0,0.0,0.0,0.0,stable
