loan_id,origination_SeriousDlqin2yrs,origination_RevolvingUtilizationOfUnsecuredLines,origination_age,origination_NumberOfTime30-59DaysPastDueNotWorse,origination_DebtRatio,origination_MonthlyIncome,origination_NumberOfOpenCreditLinesAndLoans,origination_NumberOfTimes90DaysLate,origination_NumberRealEstateLoansOrLines,origination_NumberOfTime60-89DaysPastDueNotWorse,origination_NumberOfDependents,origination_origination_PD,current_SeriousDlqin2yrs,current_RevolvingUtilizationOfUnsecuredLines,current_age,current_NumberOfTime30-59DaysPastDueNotWorse,current_DebtRatio,current_MonthlyIncome,current_NumberOfOpenCreditLinesAndLoans,current_NumberOfTimes90DaysLate,current_NumberRealEstateLoansOrLines,current_NumberOfTime60-89DaysPastDueNotWorse,current_NumberOfDependents,current_origination_PD,current_trajectory,current_current_PD,pd_origin,pd_current,product_type,security_status,collateral_type,balance,ead,eir,remaining_lifetime_months,lgd_category,lgd,default_status
1,0,0.029689737,57,0,0.283244418,10121.0,7,0,1,0,0.0,0.06698641,0,0.027369996222526668,59,0.0,0.29714659210992667,11205.294981583727,7.0,0.0,1.0,0.0,0.0,0.06698641,improving,0.0370012,0.06698641,0.0370012,credit_card,unsecured,,24072.699403386705,24072.699403386705,0.19483675515771004,15,LGD_CREDIT_CARD,0.55,0
2,0,0.036569165,48,0,0.236293951,6000.0,6,0,2,0,3.0,0.10435224,0,0.033215891783712946,50,1.0,0.25180480053484305,5892.132470426457,6.0,0.0,2.0,0.0,3.0,0.10435224,deteriorating,0.11249722,0.10435224,0.11249722,credit_card,unsecured,,4850.585642189828,4850.585642189828,0.15716328590350448,47,LGD_CREDIT_CARD,0.55,0
3,0,1.018330787,41,0,0.163137729,4958.0,4,0,0,0,0.0,0.6332024,0,0.8627327736506168,43,0.0,0.13931700425536941,5618.841251469572,4.0,0.0,0.0,1.0,0.0,0.6332024,improving,0.82682544,0.6332024,0.82682544,auto_loan,secured,vehicle,30863.084169849553,30863.084169849553,0.06923497388949203,36,LGD_AUTO,0.25,1
4,0,0.04593505,78,0,0.007199177,5833.0,11,0,0,0,1.0,0.06108087,0,0.04628030367539016,80,0.0,0.007262988451395702,6059.085137847091,11.0,0.0,0.0,0.0,1.0,0.06108087,stable,0.5214977,0.06108087,0.5214977,credit_card,unsecured,,14608.27528791555,14608.27528791555,0.1941864120450218,14,LGD_CREDIT_CARD,0.55,0
5,0,0.301055343,54,0,0.255097258,8533.0,12,0,1,0,0.0,0.1801337,0,0.30701787287787485,56,0.0,0.18690159446049429,9766.353887560696,12.0,0.0,1.0,0.0,0.0,0.1801337,improving,0.4832838,0.1801337,0.4832838,credit_card,unsecured,,10016.543328600595,10016.543328600595,0.1678160422074415,8,LGD_CREDIT_CARD,0.55,1
6,1,0.9999999,55,0,0.132851696,4982.0,1,1,0,0,0.0,0.8503278,1,0.986450619473325,57,0.0,0.13360226935522398,5153.883718961003,1.0,1.0,0.0,0.0,0.0,0.8503278,stable,0.8938655,0.8503278,0.8938655,credit_card,unsecured,,25298.014386122064,25298.014386122064,0.17893079267697803,25,LGD_CREDIT_CARD,0.55,1
7,0,0.0,33,0,0.009175931,5666.0,9,0,0,0,0.0,0.14553085,0,0.0,35,0.0,0.01121037480111602,6015.589785029453,9.0,0.0,0.0,0.0,0.0,0.14553085,deteriorating,0.12233386,0.14553085,0.12233386,mortgage,secured,real_estate,390040.8729124001,390040.8729124001,0.05751258523841735,170,LGD_MORTGAGE,0.1,0
8,0,0.0,44,0,0.608531437,4500.0,13,0,2,0,2.0,0.14438903,0,0.0,46,0.0,0.649276192865308,4915.62752369249,13.0,0.0,2.0,0.0,2.0,0.14438903,stable,0.20156004,0.14438903,0.20156004,credit_card,unsecured,,7954.590595254509,7954.590595254509,0.2055571595585698,12,LGD_CREDIT_CARD,0.55,1
9,0,0.074144247,74,0,0.009249377,5621.0,6,0,0,0,1.0,0.116234906,0,0.07687657249068777,76,1.0,0.009306102574767,5614.612711006503,6.0,1.0,0.0,0.0,1.0,0.116234906,deteriorating,0.059255965,0.116234906,0.059255965,credit_card,unsecured,,6476.111534214622,6476.111534214622,0.1797624250389533,7,LGD_CREDIT_CARD,0.55,0
10,0,0.508254824,47,0,0.58369593,7813.0,9,0,1,0,1.0,0.48501658,0,0.5538800158892366,49,0.0,0.5000407659220878,10363.4451209106,9.0,0.0,1.0,0.0,1.0,0.48501658,improving,0.81434196,0.48501658,0.81434196,credit_card,unsecured,,8997.7444764778,8997.7444764778,0.17678427677733846,20,LGD_CREDIT_CARD,0.55,1
